Customer Name,Year of Birth,Customer Gender,Customer Email,Customer City,Sales Employee,Sales Channel,Ad Media,Product ID,Order Date,Delivery Date,Invoice Date,Sales Amount,Cash Collected,Outstanding Amount,Overdue
Paige Ford,1999,Male,sanchezjoshua@example.org,C02,E05,Online,Social Media,P05,12/1/2019,12/29/2019,12/1/2019,15099.71,1189.61,11002.63,Yes
Kelli Shelton,1981,Female,dmckinney@example.net,C02,E06,Online,KOL,P04,11/6/2023,11/18/2023,11/6/2023,23130.47,2218.21,20914.36,No
Melanie Lamb,1998,Male,grobbins@example.org,C02,E05,In-store,Social Media,P01,1/17/2023,2/3/2023,1/17/2023,23297.38,5985.45,10460.48,No
Monica Mccullough,1985,Male,ejacobs@example.org,C02,E03,Distributors,KOL,P01,9/28/2019,10/6/2019,9/28/2019,21772.6,1271.61,9165.5,Yes
Angela Thomas,2004,Female,joshua27@example.com,C01,E01,In-store,Email,P02,8/28/2023,9/20/2023,8/28/2023,26500.92,133.12,13992.94,No
Scott Williams,2002,Male,diana92@example.org,C02,E04,Online,KOL,P03,1/8/2020,2/7/2020,1/8/2020,32766.46,32888.53,0,Yes
Vanessa Campbell,1986,Male,mjennings@example.org,C01,E07,Distributors,TV,P04,8/24/2023,9/10/2023,8/24/2023,16851.48,3621.33,0,No
Jeffrey Ochoa,1993,Male,staylor@example.net,C03,E03,Distributors,TV,P01,6/30/2021,7/18/2021,6/30/2021,22371.11,7294.15,0,No
Ashley Miller,1981,Female,umitchell@example.org,C03,E07,Online,TV,P03,2/8/2021,2/24/2021,2/8/2021,36990.23,1343.66,23477.65,No
Jesse Hurst,1996,Male,cmoore@example.net,C01,E03,In-store,Social Media,P01,1/20/2020,1/22/2020,1/20/2020,21607.09,1884.3,3271.27,Yes
,1970,Female,walter17@example.org,C02,E04,Distributors,Social Media,P01,6/24/2023,6/30/2023,6/24/2023,27073.81,3129.84,8317.88,Yes
